r;R;A;V
5.39;42.1;8958.403044;24142.8962
7.31;89.35;25785.26924;94245.15907
2.81;87.76;9735.59886;13678.5164
5.67;47.99;10742.20771;30454.15885
6.97;83.58;22998.25482;80148.91805
4.19;60.49;10005.92732;20962.41775
1.52;86.2;5172.620188;3931.191343
6.68;69.3;18275.50699;61040.19335
7.31;14.95;4314.379129;15769.05572
2.5;64.24;6340.233867;7925.292334
2.55;35.25;3548.616262;4524.485735
7.46;72.65;21396.07851;79807.37284
8.57;25.12;8498.850576;36417.57472
2.58;22.58;2299.870487;2966.832929
5.22;43.79;9024.126714;23552.97072
1.54;32.49;1975.286833;1520.970862
6.95;11.62;3188.237527;11079.12541
7.75;49.81;15239.75485;59054.05005
3.21;50.64;6417.390487;10299.91173
3.93;52.77;8187.275061;16087.9955
7.18;15.24;4319.854785;15508.27868
1.81;36.34;2596.708709;2350.021382
6.33;24.57;6140.003281;19433.11038
5.72;88.69;20027.6697;57279.13535
8.42;29.44;9786.099652;41199.47954
8.77;45.46;15739.42134;69017.36258
4.55;66.51;11946.97847;27179.37603
6.33;45.92;11475.33377;36319.43137
6.07;25.42;6091.496149;18487.69081
5.85;51.02;11783.00487;34465.28924
5.38;79.93;16976.64336;45667.17065
5.05;73.2;14593.59185;36848.81943
8.76;53.27;18422.41408;80690.17366
8.46;40.37;13483.07186;57033.39397
4.11;68.13;11054.52147;22717.04162
5.89;12.45;2894.972102;8525.692841
2.07;89.37;7303.345395;7558.962484
8.48;10.73;3592.157009;15230.74572
1.15;76.07;3453.591711;1985.815234
3.57;54.53;7685.34646;13718.34343
8.76;21.94;7587.530784;33233.38484
4.76;68.63;12896.76209;30694.29377
7.24;63.45;18135.51652;65650.56981
7.8;16.05;4942.3031;19274.98209
2.97;24.66;2891.407201;4293.739694
1.57;30.56;1894.142894;1486.902172
6.9;18.77;5112.968299;17639.74063
7.87;58.32;18119.74095;71301.18062
4.57;87.21;15734.11149;35952.44476
7.5;65.99;19538.85583;73270.70937
7.33;16.96;4907.830546;17987.19895
3.7;58;8472.068418;15673.32657
4.55;87.53;15722.73381;35769.21942
8.12;45.81;14685.07124;59621.38924
5.29;42.65;8907.061362;23559.1773
8.12;37.1;11892.95226;48285.38618
6.77;58.16;15544.35848;52617.65345
1.11;63.74;2793.153315;1550.20009
1.07;76.67;3238.686997;1732.697543
7.77;26.13;8015.307074;31139.46798
7.22;30.1;8579.528671;30972.0985
7.71;21.14;6434.563598;24805.24267
4.87;62.53;12022.01116;29273.59716
4.74;54.34;10168.51919;24099.39048
4.34;72.65;12447.58455;27011.25847
8.89;61.85;21707.06975;96487.92502
6.26;53.86;13310.6854;41662.44531
4.97;21.53;4224.352545;10497.51607
4.39;30.85;5346.621314;11735.83378
3.84;25.11;3806.603774;7308.679245
4.72;69.17;12889.00853;30418.06013
8.14;82.03;26360.69481;107288.0279
1.34;81.06;4288.161512;2873.068213
4.92;26.34;5116.118677;12585.65195
4.33;74.31;12702.66645;27501.27286
3.66;77.7;11226.95136;20545.32098
4.83;42.17;8041.007524;19419.03317
6.12;12.24;2957.280889;9049.279519
5.18;32.34;6613.471891;17128.8922
1.39;14.45;792.9437568;551.095911
7.63;13.91;4189.974739;15984.75363
3.85;43.69;6640.526451;12783.01342
5.89;73.98;17202.41254;50661.10493
8.22;32.97;10699.18018;43973.63055
2.21;66.47;5799.328224;6408.257688
3.26;27.03;3478.751307;5670.36463
7.36;16.59;4820.409538;17739.1071
1.45;42.98;2460.334464;1783.742486
2.82;88.22;9821.456523;13848.2537
1.16;77.47;3547.735894;2057.686818
5.02;20.79;4120.196636;10341.69356
1.5;40.36;2390.023402;1792.517551
4.77;43.55;8200.989863;19559.36082
2.05;64.78;5242.694379;5373.761739
2.12;30.38;2542.631173;2695.189043
6.18;14.95;3647.450481;11270.62199
4.23;41.9;6997.036301;14798.73178
6.39;34.86;8794.030705;28096.9281
7.32;36.3;10490.04721;38393.5728
3.45;73.74;10043.42787;17324.91308
8.84;42.95;14989.08664;66251.76295
6.78;78.99;21142.7534;71673.93403
4.72;63.08;11754.20931;27739.93397
3.82;45.45;6854.203386;13091.52847
7.19;34.38;9758.7569;35082.73106
8.2;71.82;23249.78761;95324.1292
5.46;56.96;12277.85104;33518.53334
8.04;16.22;5148.333066;20696.29892
1.73;54.18;3700.367352;3200.817759
3.42;73.99;9989.847765;17082.63968
6.77;36.68;9803.422782;33184.58612
2.63;31.56;3276.819201;4309.017249
5.99;46.72;11048.14571;33089.19639
3.29;27.59;3583.499392;5894.8565
7.84;63.8;19746.78866;77407.41154
5.18;40.19;8218.782786;21286.64742
3.05;84.5;10174.57518;15516.22715
3.69;19.18;2794.053423;5155.028566
4.42;51.59;9002.176714;19894.81054
2.82;63.69;7090.552777;9997.679415
4.91;37.6;7288.347544;17892.89322
1.35;75.52;4024.903632;2716.809951
2.17;33.89;2903.294153;3150.074156
4.15;49.16;8054.149889;16712.36102
5.77;48.63;11077.45054;31958.4448
3.12;13.82;1702.246202;2655.504075
8.63;40.32;13736.97336;59275.04003
7.08;87.49;24454.08463;86567.4596
7.52;74.56;22135.20134;83228.35704
4.43;42.96;7513.248194;16641.84475
8.65;14.01;4784.251255;20691.88668
5.17;26.07;5320.976134;13754.72331
4.29;15.49;2623.423754;5627.243953
3.8;36.67;5501.159579;10452.2032
7.77;20.42;6263.779964;24334.78516
6.92;52.52;14347.97293;49643.98633
5.9;30.38;7076.190528;20874.76206
4.48;30.36;5369.570118;12027.83706
6.22;28.29;6946.77238;21604.4621
5.87;56.42;13074.67553;38374.17267
6.83;33.84;9124.536121;31160.29085
4.4;31.71;5508.186738;12118.01082
1.58;14.55;907.5693423;716.9797804
5.25;40.33;8358.864055;21942.01815
5.11;36.72;7407.698697;18926.67017
3.98;39.06;6137.267427;12213.16218
3.74;43.83;6471.468023;12101.6452
1.6;62.49;3947.210106;3157.768085
2.59;40.27;4117.571321;5332.254861
7.24;67.27;19227.36322;69603.05486
2.18;13.13;1130.006538;1231.707127
8.92;63.94;22516.31019;100422.7435
4.61;37.88;6893.989735;15890.64634
8.54;33.3;11226.95136;47939.08229
3.29;88;11429.79146;18802.00696
5.3;17.15;3588.390768;9509.235536
1.59;46.43;2914.442858;2316.982072
7.9;35.43;11049.89065;43647.06808
2.4;26.28;2489.982755;2987.979306
1.36;27.25;1463.070156;994.8877064
3.54;22.45;3137.468282;5553.31886
6.35;60.44;15151.57981;48106.26588
3.11;55.1;6765.061119;10519.67004
3.87;84.16;12858.08903;24880.40227
5.5;41.41;8991.407001;24726.36925
2.07;65.95;5389.455397;5578.086336
1;74.98;2960.091752;1480.045876
7.32;87.79;25369.73126;92853.21641
2.2;22.76;1976.763326;2174.439659
5.25;23.78;4928.683046;12937.793
7.06;68.14;18991.81919;67041.12175
4.16;34.37;5644.592566;11740.75254
4.33;63.07;10781.28345;23341.47866
2.15;10.93;927.7230745;997.3023051
4.03;51.92;8260.369351;16644.64424
5.29;55.03;11492.51083;30397.69114
8;72.9;23023.81315;92095.25259
2.03;88.39;7083.679584;7189.934778
6.07;79.1;18955.04899;57528.57369
6.56;83.46;21614.33889;70895.03156
5.55;48.85;10703.28988;29701.62943
1.89;31.62;2359.301297;2229.539726
3.69;72.58;10573.1177;19507.40215
2.13;17.01;1430.354392;1523.327427
5.27;61.06;12703.60998;33474.0123
8;50.5;15949.28071;63797.12285
5.92;68.67;16049.01899;47505.0962
2.13;75.32;6333.585702;6745.268772
8.86;53.99;18884.55633;83658.58455
7.87;88.84;27602.15682;108614.4871
7.93;43.03;13471.13753;53413.06032
8.48;83.24;27866.83592;118155.3843
8.8;68.55;23814.96064;104785.8268
4.18;34.5;5693.182603;11898.75164
5.07;68.4;13690.64148;34705.77616
6.39;86.4;21795.87645;69637.82524
6.01;34.61;8211.75168;24676.3138
2.78;57.35;6294.162554;8748.88595
4.74;60.2;11265.08751;26698.25739
1.57;16.08;996.6563395;782.3752265
2.45;42.02;4064.263614;4978.722927
2.7;64.04;6826.134231;9215.281212
8.42;50.95;16936.20167;71301.40905
4.97;16.33;3204.072321;7962.119717
7.85;72.1;22344.19219;87700.95434
2.63;38.07;3952.741032;5197.854457
1.22;18.11;872.2440542;532.0688731
3.99;20.5;3229.137168;6442.12865
1.31;57.34;2965.43713;1942.36132
2.46;24.61;2390.047089;2939.757919
3.3;49.02;6386.265702;10537.33841
1.86;47.35;3476.903717;3233.520457
3.24;69.52;8892.308278;14405.53941
5.85;29.43;6796.821506;19880.70291
7.09;14.88;4164.941475;14764.71753
8.42;84.2;27988.77686;117832.7506
7.84;68.32;21145.77745;82891.44759
5.6;59.52;13158.63033;36844.16492
7.69;57.37;17416.90273;66967.991
7.03;64.75;17970.27961;63165.53281
3.33;10.85;1426.374967;2374.91432
3.76;45.48;6750.998907;12691.87794
5.48;38.04;8229.639351;22549.21182
4.91;63;12211.85892;29980.11364
5.13;77.35;15665.25324;40181.37455
5.47;81.21;17537.05135;47963.83543
5.3;77.62;16240.8683;43038.30101
3.95;44.9;7001.694754;13828.34714
5.25;89.07;18460.79894;48459.59723
3.83;27.5;4158.064334;7962.6932
4.92;44.35;8614.269678;21191.10341
4.64;54.05;9900.871308;22970.02143
3.16;86.61;10804.75337;17071.51032
3.5;69.92;9661.158356;16907.02712
7.19;88.29;25061.10084;90094.6575
4.02;54.91;8714.394841;17515.93363
8.58;84.02;28459.65963;122091.9398
1.13;86.27;3848.557488;2174.434981
1.41;38.47;2141.415963;1509.698254
4.64;28.69;5255.430117;12192.59787
6.57;80.75;20944.3862;68802.30865
4.95;62.57;12227.31472;30262.60393
3.12;53.77;6622.994086;10331.87077
4.2;89.89;14904.60283;31299.66593
4.74;28.22;5280.743678;12515.36252
6.86;64.29;17411.14283;59720.2199
4.74;58.85;11012.46511;26099.54232
7.26;55.22;15826.78708;57451.23709
1.87;52.91;3906.061751;3652.167737
1.49;27.28;1604.687136;1195.491916
6.6;14.32;3731.184205;12312.90788
8.03;23.88;7570.239238;30394.51054
6.78;42.89;11480.09486;38917.52159
6.93;37.36;10221.15181;35416.29104
4.38;84.94;14687.43995;32165.49348
6.06;21.27;5088.618011;15418.51257
2.01;56.86;4511.933078;4534.492744
7.28;49.36;14186.20616;51637.79044
7.83;70.5;21792.67869;85318.33709
8.76;19.86;6868.202433;30082.72666
3.88;55.05;8432.35313;16358.76507
8.42;42.52;14133.99991;59504.1396
7.51;47.96;14219.32066;53393.54908
6.66;62.45;16419.74501;54677.7509
5.85;31.19;7203.291294;21069.62703
3.25;37.17;4769.091543;7749.773757
3.09;74.1;9039.3338;13965.77072
4.99;20.24;3987.22543;9948.127447
5.47;39.54;8538.542177;23352.91286
8.85;58.12;20306.19784;89854.92542
4.06;75.14;12043.61769;24448.54392
2.62;13.15;1360.149922;1781.796397
4.31;87;14803.22225;31900.94395
7.97;50.16;15782.49229;62893.23179
3.46;69.48;9490.643175;16418.81269
3.44;30.7;4169.236726;7171.087169
2.58;89.26;9091.516373;11728.05612
3.44;49.02;6657.198187;11450.38088
6.77;79.2;21167.69586;71652.6505
3.27;72.2;9320.617526;15239.20965
5.8;30.49;6981.442326;20246.18275
8.77;49.77;17231.6542;75560.80368
4.77;87.24;16428.34341;39181.59904
5.47;47.37;10229.40675;27977.42746
4.19;20.98;3470.397674;7270.483126
3.28;12.02;1556.460301;2552.594894
2.34;67.49;6234.692266;7294.589951
8.68;67.49;23126.97815;100371.0852
7.95;35.77;11226.53683;44625.48391
8.26;26.29;8572.951566;35406.28997
1.8;64.27;4567.100219;4110.390197
3.29;65.11;8456.746844;13911.34856
3.99;62.19;9796.099535;19543.21857
5.19;64.32;13178.71695;34198.77048
1.77;82.61;5772.522379;5108.682305
6.62;70.57;18443.26658;61047.21238
2.48;72.24;7072.763802;8770.227114
8.05;46.01;14622.03605;58853.69511
3.89;66.71;10244.72438;19925.98891
2.43;47.96;4600.925327;5590.124273
8.6;15.87;5388.093391;23168.80158
3.96;51.27;8015.271543;15870.23766
2.45;22.53;2179.149434;2669.458057
8.33;74.21;24404.34578;101644.1002
3.75;32.13;4756.655841;8918.729702
2;82.85;6541.573797;6541.573797
3.94;86.72;13488.8594;26573.05301
3.78;36.38;5428.929867;10260.67745
5.14;69.9;14184.04275;36452.98986
3.25;35.34;4534.293654;7368.227188
6.56;10.31;2670.067505;8757.821416
1.65;14.36;935.4016267;771.706342
8.02;48.83;15460.40368;61996.21874
2.48;19.26;1885.678721;2338.241614
4.83;68.38;13038.75017;31488.58165
5.71;80.78;18209.57014;51988.32274
7.63;52.58;15838.16476;60422.59855
4.15;31.6;5177.199685;10742.68935
7.59;41.62;12471.06631;47327.69665
8.51;64.15;21551.91956;91703.41775
4.45;87.87;15436.91007;34347.1249
5.15;46.21;9395.133039;24192.46758
3.4;11.37;1526.156668;2594.466335
3.2;47.65;6019.669116;9631.470586
2.11;29.11;2424.847314;2558.213916
3.79;60.68;9079.135941;17204.96261
8.26;59.98;19558.98193;80778.59537
7.53;44.23;13148.36199;49503.5829
5.92;56.47;13197.72975;39065.28007
7.55;12.13;3615.492702;13648.48495
7.17;26.68;7552.047583;27074.09058
6.14;12.78;3097.839847;9510.368329
4.87;32.87;6319.582707;15388.18389
7.61;47.85;14375.61177;54699.20278
1.73;81.72;5581.284976;4827.811504
6.23;19.76;4859.982704;15138.84612
5.56;76.52;16796.14014;46693.2696
4.72;46.31;8629.318851;20365.19249
1.25;21.21;1046.671547;654.1697167
6.78;41.68;11156.22182;37819.59198
3.22;16.13;2050.453741;3301.230522
6.35;70.5;17673.5006;56113.36441
2.95;55.66;6482.237735;9561.30066
5.41;31.72;6774.701749;18325.56823
6.19;60.21;14713.60229;45538.5991
2.16;17.35;1479.493178;1597.852632
3.4;88.4;11865.6332;20171.57643
7.35;30.86;8954.534159;32907.91304
5.01;25.79;5100.923434;12777.8132
7.76;66.26;20298.91802;78759.8019
4.55;55.86;10033.95305;22827.2432
3.44;79.56;10804.70599;18584.09431
4.21;34.92;5803.848503;12217.1011
6.02;45.63;10844.42918;32641.73182
2.38;30.28;2845.067434;3385.630247
2.35;45.45;4216.591088;4954.494529
5.72;52.95;11956.98625;34196.98069
5.54;45.52;9955.698934;27577.28605
7.8;43.16;13290.33033;51832.28829
5.33;89.74;18883.08773;50323.42881
7.32;30.46;8802.392234;32216.75558
7;17.55;4849.923603;16974.73261
1.14;49.46;2225.96689;1268.801127
3.86;51.74;7884.487442;15217.06076
1.08;76.56;3264.265064;1762.703135
4.93;11.14;2168.162591;5344.520786
6.15;88.99;21606.08395;66438.70816
4.3;84.49;14342.78546;30836.98875
4.64;79.2;14507.84473;33658.19977
1.65;19.03;1239.602574;1022.672123
3.74;11.61;1714.208162;3205.569263
6.61;86.69;22621.95839;74765.57247
8.24;45.76;14885.82689;61329.60679
2.46;36.88;3581.671541;4405.455996
6.4;15.03;3797.507946;12152.02543
4.45;31.66;5561.995821;12375.4407
2.3;38.78;3521.23798;4049.423677
4.03;75.49;12010.30975;24200.77415
6;12.5;2960.88132;8882.643961
8.43;35.52;11821.16471;49826.20923
2.86;27.58;3114.010207;4453.034595
4.16;67.51;11087.18197;23061.33849
6.32;69.89;17437.80655;55103.46871
5.94;22.59;5297.395675;15733.26515
4.93;85.67;16673.83206;41100.99602
2.84;24.71;2770.453225;3934.04358
8.65;63.79;21783.53944;94213.80808
7.64;78.51;23679.80233;90456.84488
8.27;82.13;26814.33736;110877.285
8.69;11.93;4092.794666;17783.19283
6.29;85.03;21114.58555;66405.37155
8.23;40.9;13288.71171;54683.04871
2.56;84.95;8585.450433;10989.37655
4.71;20.29;3772.790509;8884.921649
3.45;47.03;6405.511431;11049.50722
8.59;15.64;5303.830657;22779.95267
8.56;57.81;19536.03707;83614.23868
2.5;77.32;7631.178123;9538.972654
1.64;10.48;678.523459;556.3892364
5.89;43.51;10117.28805;29795.41329
5.63;12.19;2709.391957;7626.938358
3.44;16.33;2217.708005;3814.457768
7.3;26.07;7513.177133;27423.09653
4.93;31.52;6134.693434;15122.01931
5.79;51.82;11845.01757;34291.32585
7.38;49.18;14328.6285;52872.63918
4.33;46.85;8008.611534;17338.64397
1.53;14.07;849.8558436;650.1397204
4.76;23.55;4425.451657;10532.57494
7.29;25.32;7287.036861;26561.24936
4.13;47.57;7756.091784;16016.32953
1.06;31.88;1334.08627;707.0657233
5.25;89.28;18504.3239;48573.85024
5.65;12.09;2696.711489;7618.209956
7.51;70.58;20925.76423;78576.24467
3.38;29.07;3879.015087;6555.535497
3.16;67.06;8365.855683;13218.05198
7.54;32.43;9653.349525;36393.12771
2.31;15.28;1393.46181;1609.448391
2.2;65.37;5677.549149;6245.304064
7.55;88.22;26295.03431;99263.75451
5.77;14.15;3223.235145;9299.033392
6.35;31.54;7906.697999;25103.76615
2.21;76.93;6711.935013;7416.688189
2.35;75.48;7002.602758;8228.05824
5.36;48.7;10305.1303;27617.74921
2.12;84.54;7075.511499;7500.042189
2.73;67.79;7306.140467;9972.881738
5.6;60.38;13348.75839;37376.52349
4.44;89.14;15624.83128;34687.12545
6.5;57.02;14631.88592;47553.62923
8.78;69.71;24162.91551;106075.1991
6.98;49.21;13560.27585;47325.36273
4.57;54.55;9841.712899;22488.31397
8.82;14.68;5111.570763;22542.02707
4.5;64.13;11392.87914;25633.97807
7.09;17.61;4929.073882;17473.56691
7.95;66.42;20846.14415;82863.42301
5.44;33.4;7173.070565;19510.75194
4.66;26.39;4854.953153;11312.04085
8.57;14.24;4817.819753;20644.35764
2.43;83.63;8022.839556;9747.750061
1.88;24.08;1787.203756;1679.971531
4.38;42.01;7264.178857;15908.5517
4.33;53.43;9133.406922;19773.82599
4.35;46.02;7903.065985;17189.16852
3.65;38.26;5513.12154;10061.44681
3.24;86.74;11094.91974;17973.76997
2.46;40.55;3938.090591;4843.851427
7.07;35.86;10008.97111;35381.71288
7.81;47.49;14642.42271;57178.66067
3.58;19.58;2767.294952;4953.457964
1.35;44.76;2385.522862;1610.227932
6.67;27.23;7170.232067;23912.72394
2.81;23.65;2623.59746;3686.154431
2.79;66.92;7370.88902;10282.39018
8.14;88.51;28443.0708;115763.2982
8.01;24.35;7700.008744;30838.53502
6.7;28.11;7435.246736;24908.07657
3.25;37.21;4774.223737;7758.113573
4.66;66.78;12285.47827;28625.16437
7.06;21.37;5956.195716;21025.37088
3.05;20.87;2512.939455;3832.232669
1.25;41.33;2039.553749;1274.721093
7.78;13.35;4100.346888;15950.34939
5.27;82.79;17224.56388;45386.72582
2.52;38.68;3848.103486;4848.610393
6.51;18.2;4677.481875;15225.2035
7.37;36.37;10582.06746;38994.91857
5.87;80.48;18650.2993;54738.62844
8.33;51.69;16998.52625;70798.86184
5.53;20.06;4379.411926;12109.07398
3.7;21.88;3196.014776;5912.627335
6.11;30.19;7282.224442;22247.19567
6.83;59.11;15938.27808;54429.21963
5.79;82.82;18930.99874;54805.24136
8.82;66.79;23256.25417;102560.0809
8.5;79;26509.75742;112666.469
7.95;72.09;22625.69304;89937.12985
6.67;50.48;13292.44637;44330.30865
7.02;33.91;9397.76625;32986.15954
1.32;85.05;4432.084031;2925.17546
8.42;61.48;20436.46082;86037.50006
1.73;57.73;3942.824054;3410.542806
5.78;46.99;10722.42507;30987.80846
4.35;61.57;10573.48485;22997.32954
6.44;47.17;11992.54841;38616.00589
3.09;58.78;7170.472885;11078.38061
3.36;67.59;8965.643386;15062.28089
8.35;37.24;12275.97187;51252.18255
3.81;78.6;11822.44381;22521.75545
8.19;23.46;7585.280515;31061.72371
2.24;85.43;7554.716324;8461.282283
5.07;55.38;11084.61587;28099.50123
2.32;54.21;4965.090043;5759.504449
8.96;51.74;18301.81541;81992.13303
7.68;32.78;9938.707423;38164.63651
1.97;67.84;5276.085225;5196.943947
4.29;29.55;5004.65926;10734.99411
3.37;74.86;9959.544132;16781.83186
2.16;12.05;1027.544253;1109.747794
4.27;42.66;7191.31749;15353.46284
5.63;10.14;2253.7518;6344.311317
4.46;17.23;3033.750584;6765.263801
1.94;54.17;4148.77901;4024.31564
1.37;41.09;2222.370406;1522.323728
4.88;30.3;5837.436741;14243.34565
4.58;23.56;4259.910756;9755.195631
3.83;52.05;7870.081767;15071.20658
7.78;88.34;27132.93214;105547.106
3.77;12.7;1890.187156;3563.00279
7.18;65.61;18597.48507;66764.9714
7.53;46.04;13686.42519;51529.39084
4.94;53.95;10521.51151;25988.13343
5.43;17.11;3667.833188;9958.167105
7.87;79.36;24656.76683;97024.37748
6.72;41.2;10930.15261;36725.31278
4.24;81.82;13695.7263;29034.93977
6.76;32.57;8692.089535;29379.26263
4.3;77.53;13161.27538;28296.74207
6.26;43.77;10817.09432;33857.50522
6.79;43.03;11534.55534;39159.81538
5.66;36.77;8216.177211;23251.78151
2.92;89.56;10324.20628;15073.34116
6.88;22.62;6143.852427;21134.85235
4.06;72.17;11567.57904;23482.18545
3.41;37.52;5050.995079;8611.94661
2.91;65.79;7558.099624;10997.03495
6.36;38.01;9543.654794;30348.82224
6.37;27.26;6855.277199;21834.05788
6.96;81.67;22440.44847;78092.76066
7.13;50.66;14259.83341;50836.30612
5.27;29.88;6216.571672;16380.66636
7.6;73.2;21962.63328;83458.00647
6.25;23.36;5763.84897;18012.02803
1.95;22.54;1735.194889;1691.815017
4.53;65.73;11754.97124;26625.00986
8.73;13.03;4490.745011;19602.10198
6.52;58.49;15055.28405;49080.226
8.97;19.56;6926.6147;31065.86693
7.81;33.22;10242.60439;39997.37013
1.51;38.46;2292.693311;1730.98345
4.98;59.8;11756.83068;29274.50838
5.8;66.74;15281.77963;44317.16092
8.45;49.57;16536.18661;69865.38842
3.74;89.22;13173.26893;24634.01289
8.16;48.18;15520.89251;63325.24143
4.91;32.59;6317.214002;15508.76037
5.84;80.92;18656.42635;54476.76493
1.29;71.66;3649.440193;2353.888925
4.64;35.29;6464.417178;14997.44785
1.39;73.29;4021.788784;2795.143205
7.16;43.42;12273.33471;43938.53826
7.23;54.41;15530.18967;56141.63567
2.71;19.32;2066.979406;2800.757095
8;55.83;17632.64044;70530.56176
2.55;28.04;2822.785816;3599.051915
8.78;60.61;21008.6689;92228.05648
4.58;20.09;3632.496056;8318.415969
1.07;27.74;1171.790496;626.9079152
5.53;87.39;19078.6046;52752.34171
3.46;14.51;1981.998164;3428.856825
7.58;12.24;3662.776003;13881.92105
4.26;33.07;5561.648411;11846.31112
3.02;11.94;1423.544365;2149.551991
7.8;34.98;10771.44937;42008.65255
3.23;45.17;5759.865598;9302.182941
6.05;24.62;5880.349781;17788.05809
6.33;76.45;19104.73141;60466.47492
6.56;68.96;17859.15181;58578.01793
1.75;11.2;773.776985;677.0548619
3.92;71.67;11091.3193;21738.98584
4.31;53.63;9125.250681;19664.91522
2.91;63.3;7272.042958;10580.8225
1.09;54.2;2332.305955;1271.106746
3.76;27.16;4031.599171;7579.406442
1.83;33.78;2440.453132;2233.014616
3.08;34.92;4246.045936;6538.910741
1.37;53.45;2890.866347;1980.243447
7.57;45.34;13549.93251;51286.49454
7.65;30.7;9271.703766;35464.26691
3.17;17.13;2143.760981;3397.861154
3.97;78.13;12245.26161;24306.84429
2.83;24.59;2747.291238;3887.417101
1.73;26.79;1829.694377;1582.685636
6.12;53.31;12880.11799;39413.16104
4.25;37.63;6313.684631;13416.57984
2.04;26.59;2141.451493;2184.280523
1.45;81.52;4666.506875;3383.217484
3.27;21.36;2757.45693;4508.442081
2.77;57.46;6283.550755;8702.717796
5.57;86.57;19036.29163;53016.07219
7.25;69.89;20003.8129;72513.82175
4.57;14.47;2610.624851;5965.277786
3.46;18.7;2554.332576;4418.995356
6.78;68.47;18326.93158;62128.29805
4.19;45.45;7518.092196;15750.40315
7.21;12.03;3424.211873;12344.2838
6.97;83.31;22923.96039;79890.00194
7.55;55.29;16479.85091;62211.43717
5.46;41.39;8921.703907;24356.25167
4.49;33.19;5883.196174;13207.77541
7.08;28.56;7982.725536;28258.8484
4.39;21.96;3805.893162;8353.935491
4.41;12.58;2190.175756;4829.337542
7.15;82.16;23191.35955;82909.1104
1.9;32.86;2464.795525;2341.555748
1.13;63.23;2820.72899;1593.711879
3.49;27.76;3824.763846;6674.212911
3.55;22.12;3100.082221;5502.645942
1.01;22.32;889.9698637;449.4347812
8.15;33.48;10772.15998;43896.55194
3.97;59.26;9287.779378;18436.24207
3.7;20.61;3010.505691;5569.435529
7.3;57.31;16516.30922;60284.52867
7.29;64.2;18476.61005;67347.24363
2.54;46.08;4620.680327;5868.264016
6.8;51.8;13905.87782;47279.98458
5.43;64.21;13764.55693;37370.77205
2.09;65.87;5434.926638;5679.498337
2.22;47.07;4125.313039;4579.097473
3.42;10.12;1366.363825;2336.48214
7.85;68.43;21206.83872;83236.84196
2.49;33.78;3320.616557;4134.167614
1.63;35.55;2287.636126;1864.423442
6.94;28.02;7676.925713;26638.93222
5.95;81.62;19172.25925;57037.47126
5.6;21.73;4804.049681;13451.33911
4.93;85.55;16650.47663;41043.42488
2.75;19.81;2150.685495;2957.192556
3.81;21.45;3226.35394;6146.204255
3.69;61.76;8996.910293;16599.29949
5.56;46.41;10186.99509;28319.84634
1.05;37.65;1560.680544;819.3572856
1.89;28.33;2113.820549;1997.560419
8.21;57.36;18591.3975;76317.68673
