r;R;A;V;V2
7.9;68.97;21510.32905;84965.79975;4304.4177
2.55;59.81;6021.0706;7676.865015;388.914525
8.28;84.05;27474.37308;113743.9045;5762.33352
8.03;85.91;27234.47458;109346.4154;5539.554119
3.21;80.75;10233.10193;16424.1286;832.056075
7.08;29.08;8128.069278;28773.36525;1457.675712
7.57;55.52;16592.24201;62801.63602;3181.568048
6.82;85.52;23025.64495;78517.44926;3977.740448
6.46;11.25;2869.093999;9267.173618;469.4805
8.84;82.53;28802.07964;127305.192;6449.356368
6.36;68.84;17284.53554;54964.82303;2784.550464
4.32;86.38;14731.82948;31820.75167;1612.058112
8.82;57.94;20174.68733;88970.37113;4507.291656
3.51;79.49;11014.86935;19331.09571;979.324749
7.77;86.61;26567.38407;103214.2871;5228.896869
8.67;55.88;19126.48797;82913.32535;4200.438132
1.84;73.85;5364.485298;4935.326474;250.02656
4.21;22.06;3666.463287;7717.905219;390.993646
5.95;28.98;6807.303026;20251.7265;1025.96445
8.85;84.57;29547.40452;130747.265;6623.733825
8.88;27.31;9574.021593;42508.65587;2153.513664
8.42;31.01;10307.98065;43396.59852;2198.497364
3.36;49.99;6631.047683;11140.16011;564.367104
1.75;29.62;2046.363777;1790.568304;90.71125
3.19;57;7178.360673;11449.48527;580.0377
3.87;20.55;3139.659334;6075.240812;307.775295
5.84;60.57;13964.65329;40776.78759;2065.776192
5.62;17.93;3978.105915;11178.47762;566.308292
6.91;49.31;13451.56414;46475.15409;2354.458811
5.65;12.05;2687.789367;7593.00496;384.666125
1.68;13.35;885.42195;743.754438;37.67904
1.53;10.66;643.8850954;492.572098;24.953994
2.13;37.76;3175.201754;3381.589868;171.313344
3.88;18.96;2904.221895;5634.190477;285.431424
5.74;73.68;16696.3387;47918.49208;2427.579168
8.38;39.01;12905.64473;54074.65143;2739.453844
1.22;24.2;1165.560801;710.9920888;36.01928
3.73;64.22;9456.68384;17636.71536;893.486438
1.78;11.74;824.9883884;734.2396656;37.197016
7.47;38.43;11333.15225;42329.32364;2144.428587
2.37;45.17;4226.279092;5008.140724;253.715373
3.05;88.78;10689.92644;16302.13782;825.87595
3.62;26.87;3840.041993;6950.476008;352.115228
5.03;48.31;9593.227843;24126.96803;1222.286479
2.24;47.7;4218.189964;4724.37276;239.33952
6.83;65.93;17777.20646;60709.16005;3075.561977
5.9;23.43;5457.378014;16099.26514;815.5983
2.74;56.93;6158.167301;8436.689202;427.407668
5.61;59.03;13073.60566;36671.46388;1857.798063
1.26;89.37;4445.514588;2800.674191;141.883812
5.65;72.17;16097.7393;45476.11353;2303.846825
5.53;86.2;18818.80897;52034.00681;2636.07358
8.1;25.55;8170.255915;33089.53646;1676.3355
7.76;40.62;12444.03939;48282.87282;2446.038912
4.42;57.73;10073.57359;22262.59764;1127.836372
2.42;43.67;4172.134442;5048.282675;255.748988
4.65;73.85;13556.9873;31519.99548;
6.25;17.06;4209.386277;13154.33212;
2.11;36.56;3045.428299;3212.926856;
3.4;11.83;1587.900913;2699.431552;
4.52;62.13;11086.62927;25055.78214;
4.52;32.31;5765.475481;13029.97459;
6.19;14.81;3619.140508;11201.23987;
2.26;28.96;2583.846641;2919.746704;
6.46;22.46;5727.986776;18501.39729;
6.52;86.03;22144.0603;72189.63657;
3.25;59.55;7640.554247;12415.90065;
7.19;37.2;10559.2134;37960.37217;
8.61;72.57;24667.20887;106192.3342;
5.63;37.61;8359.329901;23531.51367;
4.7;80.29;14897.6941;35009.58114;
5.07;76.65;15341.925;38891.77987;
4.44;43.34;7596.816108;16864.93176;
4.53;26.29;4701.630823;10649.19381;
3.78;67.19;10026.65744;18950.38257;
4.64;16.67;3053.608228;7084.371088;
4.56;74.2;13357.60155;30455.33154;
1.57;23.97;1485.687342;1166.264563;
2.7;59.19;6309.164353;8517.371876;
2.47;63.07;6150.062382;7595.327042;
6.77;68.84;18398.79019;62279.90481;
2.67;12;1264.8885;1688.626148;
1.32;34.15;1779.608109;1174.541352;
2.82;64.74;7207.448371;10162.5022;
6.27;64.39;15938.43599;49966.99683;
3.24;75.36;9639.303104;15615.67103;
8.1;15.43;4934.131067;19983.23082;
6.16;63.38;15413.19538;47472.64178;
4.08;88.79;14301.57789;29175.2189;
2.49;74.03;7277.242266;9060.166621;
4.16;59.38;9751.990299;20284.13982;
2.27;83.86;7515.198428;8529.750215;
8.33;87.26;28695.90638;119518.4501;
4.46;39.47;6949.630617;15497.67628;
2.24;48.46;4285.398022;4799.645785;
1.94;32.13;2460.776622;2386.953323;
1.19;45.54;2139.438094;1272.965666;
3.94;60.44;9401.137706;18520.24128;
4.98;85.23;16756.43275;41723.51755;
6.26;87.09;21522.97794;67366.92094;
6.51;39.29;10097.70675;32868.03547;
5.74;55.17;12501.85948;35880.3367;
8.32;37.32;12258.14341;50993.8766;
5.07;60.86;12181.46843;30880.02247;
8.48;63.95;21408.98795;90774.10892;
4.81;31.46;5973.976796;14367.41419;
1.3;18.33;940.7312131;611.4752885;
4.45;24.27;4263.728319;9486.79551;
5.37;50.88;10786.51434;28961.79099;
3.1;43.5;5323.664614;8251.680152;
3.17;17.35;2171.293229;3441.499768;
7.62;43.48;13079.89457;49834.39832;
4.24;86.15;14420.51847;30571.49915;
2.01;35.81;2841.58149;2855.789398;
2.76;51.68;5631.075156;7770.883715;
7.07;50.53;14103.5502;49856.04996;
2.12;15.07;1261.272277;1336.948614;
2.38;19.1;1794.609907;2135.58579;
1.64;71.25;4613.053097;3782.70354;
8.26;15.52;5060.94364;20901.69724;
8.88;38.32;13433.77911;59645.97924;
3.9;80.39;12377.31297;24135.76028;
7.02;21.88;6063.790196;21283.90359;
7.77;26.08;7999.969709;31079.88232;
4.97;59.99;11770.50205;29249.6976;
8.12;53.56;17169.44806;69707.95913;
3.04;50.09;6011.520771;9137.511572;
7.72;55.14;16805.20439;64868.08894;
8.44;70.65;23540.42772;99340.60498;
2.62;48.81;5048.586896;6613.648833;
6.19;12.23;2988.662283;9249.909765;
2.92;38.74;4465.830182;6520.112066;
8.93;35.1;12374.23365;55250.95324;
5.04;20.61;4100.796942;10334.00829;
3.82;14.8;2231.951818;4263.027972;
1.78;23.45;1647.868629;1466.60308;
2.77;31.11;3402.040794;4711.826499;
6.77;52.74;14095.76111;47714.15136;
4.58;79.62;14396.18397;32967.2613;
7.46;30.71;9044.371247;33735.50475;
2.93;20.69;2393.248788;3506.109475;
1.04;13.12;538.6751125;280.1110585;
3.7;87.82;12827.88015;23731.57827;
7.25;46.29;13249.05564;48027.82671;
8.36;20.27;6689.902108;27963.79081;
7.93;52.34;16385.76199;64969.5463;
1.15;27.05;1228.074876;706.1430535;
4.54;29.61;5307.059992;12047.02618;
8.88;62.92;22057.76048;97936.45652;
6.5;85.88;22037.64228;71622.33739;
6.99;43.57;12023.32184;42021.50983;
1.8;23.95;1701.914583;1531.723125;
1.5;84.96;5031.129539;3773.347155;
5.27;16.78;3491.100156;9199.048911;
7.61;47.44;14252.43516;54230.51578;
3.38;12.81;1709.32863;2888.765384;
2.96;21.84;2552.137576;3777.163612;
7.27;31.02;8902.991137;32362.37278;
5.97;73.08;17223.94407;51413.47304;
6.53;66.37;17109.79222;55863.47161;
6.62;18.94;4949.914539;16384.21712;
2.75;79.65;8647.253896;11889.97411;
6.72;59.04;15663.01481;52627.72976;
8.89;70.15;24620.06375;109436.1833;
4.33;12.51;2138.478768;4629.806533;
1.57;24.25;1503.042054;1179.888013;
7.47;80.85;23842.97057;89053.49509;
1.2;57.03;2701.744987;1621.046992;
6.58;45.38;11788.27129;38783.41254;
3.23;19.33;2464.870534;3980.765912;
8.24;31.66;10299.06642;42432.15365;
6.09;77.52;18637.63462;56751.59742;
6.61;86.08;22462.77746;74239.4795;
3.28;29.81;3860.073342;6330.520282;
4.96;18.11;3546.172548;8794.50792;
1.3;42.36;2173.997501;1413.098375;
7.27;39.34;11290.8985;41042.41603;
4.12;29.92;4866.520329;10025.03188;
3.18;20.73;2602.472558;4137.931368;
5.07;20.38;4079.170664;10340.69763;
5.18;81.91;16750.44782;43383.65986;
3.48;70.21;9645.793356;16783.68044;
2.35;11.46;1063.193265;1249.252086;
1.68;36.4;2414.184193;2027.914722;
2.47;15.79;1539.709609;1901.541367;
6.13;41.18;9965.671182;30544.78217;
5.89;37.8;8789.553852;25885.23609;
8.74;25.62;8839.959896;38630.62474;
7.2;32.13;9132.779215;32878.00517;
2.27;64.36;5767.686272;6546.323919;
6.57;39.95;10361.95949;34039.03691;
2.78;71.42;7838.345067;10895.29964;
4.53;50.72;9070.624394;20544.96425;
5.54;21.74;4754.764825;13170.69856;
2.91;22.86;2626.206983;3821.13116;
4.09;59.96;9681.545011;19798.75955;
5.32;76.47;16060.62564;42721.26421;
1.65;74.54;4855.49006;4005.779299;
3.27;88.36;11406.78344;18650.09093;
8.37;41.16;13600.67807;56918.83771;
8.3;45.72;14981.112;62171.6148;
1.94;30.65;2347.426189;2277.003403;
7.5;29.4;8704.991082;32643.71656;
6.96;73.83;20286.25334;70596.16162;
5.51;48.6;10571.76754;29125.21956;
7.34;63.79;18484.52942;67838.22297;
1.49;10.72;630.5808687;469.7827472;
5.12;45.09;9114.019071;23331.88882;
8.38;77.93;25781.51484;108024.5472;
6.72;46.15;12243.36269;41137.69865;
1.13;81.56;3638.441506;2055.719451;
5.74;27.19;6161.420323;17683.27633;
2.31;71.39;6510.421378;7519.536691;
4.24;45.88;7679.783951;16281.14198;
7.93;25.81;8080.17801;32037.90581;
4.71;72.75;13527.37849;31856.97634;
4.86;60.39;11586.73397;28155.76354;
4.68;15.55;2873.002363;6722.825529;
3.28;39.46;5109.644216;8379.816515;
7.26;69.01;19779.18465;71798.44027;
4.01;67.99;10763.39183;21580.60061;
7.21;66.03;18794.73898;67755.03403;
2.15;18.88;1602.507927;1722.696022;
7.07;85.43;23844.5734;84290.56696;
3.68;63.56;9234.03346;16990.62157;
4.56;79.46;14304.51509;32614.2944;
7.83;74.09;22902.40517;89662.91624;
3.86;58.08;8850.619069;17081.6948;
4.83;57.05;10878.33719;26271.18431;
1.94;66.66;5105.364756;4952.203813;
1.7;13.31;893.2781551;759.2864319;
8.23;40.24;13074.27285;53800.63276;
6.95;77.14;21165.28768;73549.37469;
3;89.76;10630.74829;15946.12244;
6.08;72.95;17510.09943;53230.70227;
8.86;28.68;10031.65541;44440.23346;
8.48;43.83;14673.27509;62214.68638;
6.06;49.53;11849.51811;35904.03986;
4.56;68.56;12342.27982;28140.39798;
4.39;56.35;9766.032773;21436.44194;
6.41;42.88;10851.06945;34777.67757;
4.33;37.77;6456.462277;13978.24083;
3.07;85.12;10316.43692;15835.73068;
8.63;73.77;25133.34634;108450.3895;
6.4;63.11;15945.49078;51025.57051;
8.51;25.26;8486.383292;36109.56091;
8.98;25.08;8891.266047;39921.78455;
8.55;17.89;6038.599018;25815.0108;
7.74;29.23;8931.605094;34565.31172;
4.81;55.37;10514.27512;25286.83166;
6.88;12.55;3408.72449;11726.01224;
7.6;60.61;18185.18037;69103.68541;
7.84;13.81;4274.344065;16755.42874;
7.45;17.45;5132.292985;19117.79137;
4.08;19.55;3148.956502;6423.871264;
5.7;29.9;6728.306712;19175.67413;
8.82;63.27;22030.59143;97154.90821;
2.89;67.36;7685.279346;11105.22866;
1.96;65.89;5098.416554;4996.448223;
5.63;66.03;14676.05832;41313.10417;
8.23;33.86;11001.36378;45270.61196;
5.63;25.95;5767.737594;16236.18133;
2.76;79.07;8615.501405;11889.39194;
4.19;72.05;11918.11975;24968.46088;
7.4;74.88;21875.46494;80939.22026;
8.81;28.74;9995.91165;44031.99082;
2.06;67.45;5485.407691;5649.969922;
8.43;68.21;22700.49675;95682.5938;
4.71;34.17;6353.684164;14962.92621;
5.13;71.15;14409.60269;36960.63089;
8.92;53.32;18776.5039;83743.2074;
7.96;56.78;17843.01303;71015.19186;
4.46;25.65;4516.291496;10071.33004;
1.55;80.23;4909.397839;3804.783325;
3.22;33.87;4305.571494;6931.970105;
7.19;51.68;14669.35883;52736.345;
7.48;28.47;8407.150108;31442.7414;
5.93;58.87;13781.88006;40863.27436;
1.15;26.01;1180.858688;678.9937457;
2.41;50.12;4768.56648;5746.122608;
4.54;32.26;5782.024834;13125.19637;
7.94;26.6;8337.999712;33101.85886;
8.88;43.2;15144.55265;67241.81376;
1.07;65.49;2766.422479;1480.036026;
1.87;74.32;5486.647313;5130.015238;
3.44;17.04;2314.130092;3980.303758;
4.46;44.88;7902.189564;17621.88273;
6.48;43.63;11161.43297;36163.04283;
5.84;46.07;10621.62088;31015.13298;
2.96;12.49;1459.53289;2160.108677;
2.35;78.69;7300.408201;8577.979636;
5.87;55.67;12900.87179;37864.05871;
1.15;33.31;1512.280004;869.5610023;
2.96;10.79;1260.877493;1866.098689;
2.6;21.1;2165.78599;2815.521787;
6.13;38.07;9213.042786;28237.97614;
6.38;69.14;17414.45112;55552.09907;
1.07;38.45;1624.201318;868.9477051;
2.66;88.55;9298.864918;12367.49034;
3.36;89.88;11922.35579;20029.55772;
6.57;74.01;19196.2108;63059.55249;
5.07;21.47;4297.340244;10893.75752;
6.63;14.33;3750.761552;12433.77454;
5.99;70.57;16688.09166;49980.83453;
2;37.94;2995.622328;2995.622328;
8;43.42;13713.22314;54852.89256;
3.76;29.8;4423.477736;8316.138143;
8.88;88.93;31176.04322;138421.6319;
7.45;74.55;21926.21444;81675.14879;
6.53;48.59;12526.21371;40898.08777;
5.51;83.98;18267.84028;50327.89998;
4.76;22.22;4175.52169;9937.741623;
6.96;17.58;4830.452847;16809.97591;
6;59.9;14188.54329;42565.62986;
6.7;32.73;8657.261675;29001.82661;
1.84;77.07;5598.387026;5150.516064;
2.29;47.25;4271.663481;4891.054686;
1.6;85.27;5386.119471;4308.895576;
6.67;44.07;11604.55847;38701.2025;
2.19;82.78;7156.971266;7836.883537;
2.23;56.76;4996.972813;5571.624686;
5.24;10.6;2192.789227;5745.107776;
4.92;65.02;12629.08263;31067.54326;
8.98;13.49;4782.423404;21473.08109;
8.94;19.52;6889.331282;30795.31083;
6.74;74.14;19727.5074;66481.69994;
4.75;20.71;3883.590636;9223.52776;
2.9;82.98;9500.165369;13775.23979;
6.67;14.84;3907.684314;13032.12719;
7.81;27.15;8371.062886;32689.00057;
4.69;11.74;2173.70536;5097.33907;
6.98;87.77;24185.84458;84408.59758;
1.5;86.1;5098.637634;3823.978225;
9;30.98;11007.3724;49533.17578;
6.9;71.5;19476.67733;67194.53677;
1.49;76.93;4525.241253;3371.304733;
6.18;22.53;5496.793267;16985.09119;
5.81;13.91;3190.531223;9268.493204;
8.79;24.49;8498.40447;37350.48765;
8.97;61.85;21902.40896;98232.30417;
1.34;55.85;2954.525295;1979.531948;
7.07;80.76;22541.11843;79682.85365;
2.33;58.55;5385.704947;6274.346264;
7.09;14.58;4080.97088;14467.04177;
4.18;27.03;4460.484804;9322.413241;
3.42;52.72;7118.053442;12171.87139;
6.59;69.2;18003.26382;59320.7543;
7.83;46.18;14274.97733;55886.53626;
3.14;34.44;4269.259245;6702.737015;
3.71;80.52;11793.35611;21876.67558;
8.95;87.34;30860.00269;138098.512;
3.86;43.73;6663.870039;12861.26918;
3.88;80.4;12315.37133;23891.82038;
8.14;51.83;16655.79437;67789.08308;
4.31;31.08;5288.323535;11396.33722;
6.52;59.93;15425.93902;50288.5612;
7.48;22.39;6611.734841;24727.8883;
5.58;48.54;10692.85574;29833.06751;
5.87;81.57;18902.89406;55479.99405;
7.12;71.52;20103.29456;71567.72864;
6.65;37.89;9947.317666;33074.83124;
5.74;27.09;6138.759711;17618.24037;
8.68;28.53;9776.451127;42429.79789;
3.09;16.78;2046.963848;3162.559146;
2.78;34.81;3820.397533;5310.35257;
1.22;74.65;3595.417926;2193.204935;
7.23;87.68;25026.41115;90470.47631;
1.48;32.91;1922.867391;1422.921869;
8.58;31.4;10635.95944;45628.26601;
1.03;63.08;2565.00754;1320.978883;
6.51;64.49;16574.22011;53949.08647;
5.31;22.59;4735.550679;12572.88705;
4.41;83.04;14457.24919;31878.23446;
6.1;33.37;8036.108252;24510.13017;
5.14;40.81;8281.127103;21282.49666;
4.04;84.56;13486.71177;27243.15778;
2.13;30.48;2563.033619;2729.630804;
4.78;76.21;14381.34798;34371.42168;
5.19;33.91;6947.921202;18029.85552;
5.39;28.75;6117.674288;16487.13221;
1.25;86.5;4268.603903;2667.87744;
3.2;73.94;9340.909433;14945.45509;
4.21;29.08;4833.216336;10173.92039;
8.62;46.63;15868.37364;68392.6904;
2.55;51.08;5142.221807;6556.332803;
2.03;15.45;1238.181351;1256.754071;
6.14;12.91;3129.35152;9607.109165;
2.02;25.86;2062.241996;2082.864416;
2.75;28.7;3115.834109;4284.2719;
1.13;48.38;2158.261403;1219.417693;
4.76;87.83;16504.77363;39281.36124;
2.59;17.84;1824.123972;2362.240544;
7.29;23.98;6901.387991;25155.55923;
3.92;84.12;13018.024;25515.32703;
7.2;15.13;4300.6209;15482.23524;
4.51;87.07;15502.61005;34958.38567;
7.29;70.61;20321.39308;74071.47777;
1.91;46.55;3510.045848;3352.093785;
4.75;24.6;4613.053097;10956.00111;
6.44;84;21356.24479;68767.10821;
7.21;71.33;20303.32775;73193.49656;
6.43;42.74;10849.38766;34880.78134;
4.96;34.53;6761.421209;16768.3246;
6.49;36.8;9428.709433;30596.16211;
3.18;65.15;8179.020124;13004.642;
8.8;20.05;6965.572002;30648.51681;
7.06;26.1;7274.530098;25679.09125;
5.44;55.55;11930.06197;32449.76857;
6.25;35.05;8648.240856;27025.75268;
6.89;28.36;7714.098591;26575.06965;
4.12;67.55;10987.08049;22633.38581;
5.05;54.94;10953.16853;27656.75054;
7.62;63.65;19147.54576;72952.14934;
6.67;82.61;21752.95156;72546.09346;
4.67;31.7;5844.345464;13646.54666;
5.42;45.95;9832.060426;26644.88375;
7.06;62.31;17366.89542;61305.14083;
1.02;19.1;769.1185318;392.2504512;
3.09;50;6099.41552;9423.596978;
5.54;36.46;7974.182406;22088.48527;
1.83;76.23;5507.274786;5039.15643;
5.47;12.9;2785.715581;7618.932115;
7.06;66.41;18509.63769;65339.02106;
3.87;82.5;12604.47178;24389.6529;
3.56;77.44;10883.66283;19372.91983;
5.04;40.71;8100.118559;20412.29877;
8.25;35.3;11497.10217;47425.54644;
7.81;18.42;5679.373052;22177.95177;
3.99;61.63;9707.888959;19367.23847;
4.16;59.72;9807.828573;20400.28343;
1.82;20.5;1472.939761;1340.375182;
5.17;27.1;5531.202655;14298.15886;
3.73;38.66;5692.85888;10617.18181;
8.71;24.14;8300.708398;36149.58508;
1.89;54.87;4094.081663;3868.907171;
4.1;47.03;7612.346918;15605.31118;
7.55;72.13;21499.21588;81159.53993;
2.53;89.75;8964.265589;11339.79597;
8.68;60.28;20656.30823;89648.37774;
2.15;56.54;4799.035922;5158.963617;
7.87;77.17;23976.34446;94346.91545;
6.21;67.69;16594.94628;51527.30821;
8.7;87.45;30035.77229;130655.6095;
5.17;48.49;9896.974788;25583.67983;
4.01;34.35;5437.895415;10902.98031;
3.23;56.88;7253.06963;11713.70745;
7.42;78.87;23103.37795;85713.53219;
1.68;11.95;792.5687118;665.7577179;
4.26;50.26;8452.629245;18004.10029;
6.72;36.77;9754.895911;32776.45026;
1.2;35.12;1663.778432;998.2670589;
8.01;71.48;22603.5575;90527.24777;
8.68;13.42;4598.667162;19958.21548;
3.06;81.13;9800.825102;14995.26241;
4.35;88.6;15215.37693;33093.44482;
6.62;49.45;12923.61531;42777.16667;
7.05;89.21;24829.18092;87522.86275;
8.91;43.45;15283.65485;68088.68237;
2.21;44.26;3861.565627;4267.030017;
5.61;87.28;19330.24398;54221.33436;
4.24;88.09;14745.25214;31259.93454;
1.76;39.42;2738.981031;2410.303307;
1.34;36.01;1904.967876;1276.328477;
6.56;42.75;11071.32743;36313.95398;
7.39;34.03;9928.099572;36684.32792;
5.96;66.84;15726.8751;46866.08779;
5.52;57.87;12611.08047;34806.58209;
3.23;66.98;8540.974048;13793.67309;
1.37;46.63;2522.0037;1727.572534;
8.67;70.22;24034.75278;104190.6533;
2.04;11.37;915.6940006;934.0078807;
1.35;66.29;3532.982809;2384.763396;
8.62;18.79;6394.311404;27559.48215;
8.56;24.13;8154.377696;34900.73654;
5.99;34.43;8141.85909;24384.86797;
7.77;41.2;12637.98896;49098.5871;
6.47;68.25;17432.78095;56395.04637;
6.07;45.48;10898.55409;33077.11165;
4.25;52.93;8880.768736;18871.63356;
3.77;13.11;1951.208947;3678.028864;
4.25;43.34;7271.727131;15452.42015;
5.57;82.74;18194.0946;50670.55346;
8.91;50.65;17816.2743;79371.502;
3.51;61.32;8497.066152;14912.3511;
1.94;40.73;3119.434541;3025.851505;
7.33;61.38;17761.94805;65097.5396;
6.56;13.36;3459.951684;11348.64152;
5.54;64;13997.46775;38772.98566;
8.06;63.19;20106.80814;81030.4368;
7.17;73.23;20728.50242;74311.68116;
3.54;28.42;3971.797264;7030.081158;
5.27;30.69;6385.093193;16824.72056;
3.26;58.7;7554.66895;12314.11039;
2.36;70.77;6593.574769;7780.418227;
7.21;44;12524.1332;45149.50019;
3.85;20.61;3132.553219;6030.164947;
8.32;72.17;23704.98956;98612.75655;
6.42;47.37;12005.99476;38539.24318;
1.25;45.76;2258.165487;1411.353429;
2.13;19.11;1606.941354;1711.392542;
5.22;32.36;6668.662719;17405.2097;
7.37;25.25;7346.637428;27072.35892;
1.11;47.08;2063.09473;1145.017575;
3.07;39.43;4778.866399;7335.559922;
8.99;50.94;18079.16503;81265.84681;
6.28;25.02;6203.070053;19477.63997;
2.27;82.21;7367.332015;8361.921837;
6.3;14.57;3623.76343;11414.85481;
7.69;47.02;14274.75626;54886.4378;
7.76;51.85;15884.37819;61631.38739;
7.28;68.47;19678.4752;71629.64974;
2.06;35.73;2905.761554;2992.9344;
7.41;88.7;25947.8611;96136.82539;
3.77;13.3;1979.487337;3731.33363;
5.64;16.65;3707.260284;10454.474;
3.54;50.51;7058.954251;12494.34902;
4.01;36.34;5752.92924;11534.62313;
8.75;20.54;7095.258604;31041.75639;
3.1;13.69;1675.424565;2596.908075;
3.1;34.15;4179.38268;6478.043154;
8.64;31.51;10747.85707;46430.74254;
7.69;54.84;16648.82248;64014.72244;
8.03;17.55;5563.555219;22337.6742;
4.8;89.19;16901.18432;40562.84236;
8.05;29.95;9518.147788;38310.54485;
2.51;46.16;4574.032629;5740.41095;
7.79;14.86;4569.997935;17800.14196;
5.23;71.16;14692.55635;38421.03485;
3.15;41.35;5142.162589;8098.906078;
8.3;35.41;11602.82537;48151.72528;
4.16;73.5;12070.92097;25107.51561;
4.97;36.4;7141.961572;17747.77451;
7.46;48.95;14416.21532;53772.48315;
8.29;34.79;11385.93489;47194.70012;
1.75;72.37;4999.842894;4374.862532;
6.8;48.24;12950.18428;44030.62656;
3.4;53.8;7221.392148;12276.36665;
5.87;78.73;18244.75725;53548.36253;
6.82;28.65;7713.806451;26304.08;
1.04;36.42;1495.316128;777.5643865;
2.18;56.96;4902.145654;5343.338762;
8.27;39.28;12824.39025;53028.8537;
4.69;56.9;10535.25;24705.16125;
3.7;89.31;13045.52466;24134.22062;
3.75;23.55;3486.437755;6537.07079;
7.93;18.14;5678.978268;22517.14883;
4.64;66.64;12207.10572;28320.48526;
3.82;14.86;2241.000271;4280.310518;
4.5;41.01;7285.544577;16392.4753;
1.75;11.1;766.868262;671.0097292;
4.59;13.86;2511.514284;5763.925282;
8.2;54.97;17795.05465;72959.72406;
5.19;75.43;15455.07804;40105.92751;
6.87;12.69;3441.74029;11822.3779;
3.01;82.94;9855.763268;14832.92372;
8.73;74.22;25579.66959;111655.2578;
3.01;55.36;6578.430848;9900.538426;
3.23;40.34;5143.966753;8307.506306;
5.79;33.16;7579.714058;21943.2722;
3.48;54.93;7546.552187;13131.00081;
8.06;64.29;20456.82379;82440.99988;
6.77;76.53;20454.08794;69237.08766;
2.93;13.64;1577.762855;2311.422583;
6.07;76.82;18408.68349;55870.35438;
1.45;53.68;3072.842113;2227.810532;
7.64;82.66;24931.50503;95238.34923;
1.76;46.92;3260.096143;2868.884606;
4.39;28.07;4864.81881;10678.27729;
8.06;55.36;17615.3331;70989.7924;
5.35;49.15;10380.94861;27769.03752;
8.45;23.25;7756.028619;32769.22091;
6.19;50.92;12443.39194;38512.29806;
3.42;39.04;5271.031988;9013.464699;
4.56;28.43;5118.013641;11669.0711;
1.89;89.84;6703.340561;6334.65683;
5.68;57.68;12934.01392;36732.59954;
8.36;52.1;17195.06166;71875.35773;
8.38;27.15;8982.011138;37634.62667;
6.68;73.2;19303.99873;64475.35575;
5.71;63.55;14325.55314;40899.4542;
2.66;13.45;1412.419347;1878.517731;
3.09;35.38;4315.946422;6668.137222;
7.78;85.59;26288.29139;102261.4535;
5.21;12.44;2558.690993;6665.390037;
3.83;26.67;4032.566392;7722.364642;
8.15;25.07;8066.250024;32869.96885;
4.27;58.87;9923.883277;21187.4908;
4.11;62.56;10150.7539;20859.79926;
7.64;81.82;24678.14834;94270.52666;
8.75;10.93;3775.617164;16518.32509;
8.72;42.56;14651.35667;63879.91509;
2.02;86.97;6935.544718;7004.900165;
7.38;37.89;11039.27885;40734.93897;
5.61;53.29;11802.34534;33105.57869;
6.8;76.61;20566.20269;69925.08916;
7.1;57.39;16086.23134;57106.12127;
4.48;40.74;7205.411285;16140.12128;
6.39;46.77;11798.53173;37696.30887;
7;17.98;4968.75364;17390.63774;
3.25;14.88;1909.176275;3102.411447;
8.87;73.7;25807.79168;114457.5561;
4.67;81.78;15077.30511;35205.50743;
4.41;86.64;15084.00855;33260.23884;
